"descripcion","modelo","marca","capacidad"
"JIYWELUBR3I",2021,"Audi",8
"AXCGAIIF",2015,"Audi",4
"EAZFAJ4XULE",2017,"Audi",5
"BOFQFAGFUIT",2018,"Audi",1
"IPAQZGPI",2021,"Audi",5
"AGNIGNN48XQ",2018,"Audi",9
"BBDNHHHM5TP",2022,"Audi",10
"MSBYDR5A",2022,"Audi",8
"KXGIVIWA",2019,"Audi",10
"AGGYTGX10FE",2016,"Audi",6
"ZZXTEKM7",2019,"Audi",9
"CXHOLGVH",2021,"Audi",8
"WFITVD0J",2016,"Audi",1
"HANZGJCA80Q",2020,"Audi",7
"OERFTM8X",2019,"Audi",10
"ISPNKTAH",2020,"Audi",7
"IYZKLDNYN2I",2021,"Audi",10
"LTTXST6CLSD",2020,"Audi",2
"SSIZXTF8QMN",2019,"Audi",8
"YKVWQLBB9MW",2017,"Audi",4
"ZWVEPXGW",2019,"Audi",8
"TTEEUPLO",2022,"Audi",8
"WWXJCKW6N35",2023,"Audi",7
"YQWOULOR",1985,"Audi",7
"HQENEANN",2015,"Audi",9
"JGSRPTO6",2017,"Audi",9
"SLEVHZ71BHS",2019,"Audi",6
"ZVWOBHSUB63",2020,"Audi",9
"IVHGZR02VDF",2016,"BMW",3
"JMSHODNR",2019,"BMW",2
"NUZUIUTN",2010,"BMW",2
"WHYPQTYIW7J",2021,"BMW",8
"JFXZHQC3",2019,"BMW",3
"MMGJADNF2BW",2015,"BMW",7
"LVDIXCYZHN6",2016,"BMW",8
"CTGWTH9I",2016,"BMW",2
"BNGHIEMMCM1",2020,"BMW",10
"DYBICFAV",2019,"BMW",6
"WGWNBF28VF5",2019,"BMW",4
"FFEQGZE3",2018,"BMW",6
"RAZJNEUSUOZ",2022,"BMW",10
"YMJGVLOJ5JO",2022,"BMW",10
"PMVEONBD",2016,"BMW",1
"ARFKPPUY",2019,"BMW",3
"KGDEYIIR",2015,"BMW",1
"TGOEWK7IPW1",2016,"BMW",8
"VMMPBG8W",2020,"BMW",7
"HKIVVXON",2016,"BMW",3
"FTGVUCBT",2023,"BMW",1
"GMDRSFBTALH",2021,"BMW",4
"YEMSLYBTOLH",2016,"BMW",9
"AXNMIOYK2LN",2018,"BMW",6
"FDXEJDFV",2016,"BMW",6
"BGZOHO05MP4",2021,"BMW",3
"BHSRKFVU1QK",2019,"BMW",3
"LGLFQC3B",2021,"BMW",9
"ITDOYZ88",2020,"BMW",10
"UMLAAFQX",2020,"BMW",4
"USDIIU25",2018,"BMW",10
"ZUHTMA1N",2017,"BMW",9
"PXUPVO59",2019,"BMW",7
