"rutas","date"
"dicki","2023-01-14"
"spinka","2023-01-12"
"graham","2023-01-15"
"moore","2023-01-06"
"turcotte","2023-01-26"
"graham","2023-01-20"
"shanahan","2023-01-03"
"little","2023-01-17"
"pouros","2023-01-14"
"pacocha","2023-01-10"
"gutmann","2023-01-02"
"schuppe","2023-02-03"
"tromp","2023-01-01"
"deckow","2023-01-08"
"marquardt","2023-01-30"
"lind","2023-02-03"
"tromp","2023-01-28"
"armstrong","2023-01-03"
"balistreri","2023-01-13"
"osinski","2023-01-25"
"prohaska","2023-01-24"
"nitzsche","2023-01-31"
"cormier","2023-01-24"
"hilpert","2023-01-05"
"bogan","2023-01-22"
"marquardt","2023-01-23"
"stamm","2023-01-24"
"gusikowski","2023-01-22"
"wehner","2023-01-22"
"osinski","2023-01-10"
"schuppe","2023-01-05"
"prohaska","2023-01-30"
"gutmann","2023-02-03"
"heaney","2023-01-27"
"shanahan","2023-01-01"
"douglas","2023-01-06"
"nitzsche","2023-01-19"
"lang","2023-01-21"
"rodriguez","2023-01-09"
"effertz","2023-01-22"
"wehner","2023-01-31"
"lind","2023-01-12"
"crona","2023-01-31"
"kuphal","2023-01-05"
"reinger","2023-01-12"
"sauer","2023-01-31"
"kshlerin","2023-01-15"
"kshlerin","2023-01-09"
"jaskolski","2023-01-08"
"rodriguez","2023-01-13"
"pouros","2023-02-04"
"ankunding","2023-01-27"
"towne","2023-01-03"
"pouros","2023-01-11"
"osinski","2023-01-05"
"deckow","2023-01-22"
"little","2023-01-25"
"kris","2023-01-08"
"gutmann","2023-01-18"
"hoeger","2023-02-03"
"balistreri","2023-01-31"
"gleason","2023-01-17"
"mosciski","2023-01-09"
"marquardt","2023-01-29"
"jaskolski","2023-01-29"
"cormier","2023-01-11"
"prohaska","2023-01-15"
"gusikowski","2023-01-26"
"balistreri","2023-01-01"
"nader","2023-01-31"
"tromp","2023-01-10"
"greenfelder","2023-02-01"
"lind","2023-01-25"
"balistreri","2023-01-17"
"rodriguez","2023-01-28"
"emmerich","2023-02-01"
"hilpert","2023-01-28"
"dubuque","2023-01-19"
"baumbach","2023-01-31"
"dicki","2023-01-09"
"jaskolski","2023-01-01"
"gutmann","2023-02-01"
"jaskolski","2023-01-27"
"tromp","2023-01-11"
"kuphal","2023-01-19"
"parker","2023-01-04"
"hoeger","2023-01-12"
"schulist","2023-02-01"
"nader","2023-01-06"
"schulist","2023-01-28"
"koepp","2023-01-27"
"sawayn","2023-01-05"
"dubuque","2023-01-27"
"dickens","2023-01-24"
"bogan","2023-02-03"
"fisher","2023-01-09"
"marquardt","2023-01-29"
"kuphal","2023-01-14"
"stehr","2023-01-01"
"marquardt","2023-01-04"
"goodwin","2023-02-03"
"ortiz","2023-01-12"
"lind","2023-01-25"
"lind","2023-01-19"
"kohler","2023-02-03"
"bins","2023-01-18"
"towne","2023-01-07"
"altenwerth","2023-01-15"
"stehr","2023-02-02"
"dicki","2023-01-03"
"nader","2023-01-16"
"graham","2023-01-01"
"graham","2023-01-03"
"deckow","2023-01-28"
"heathcote","2023-01-01"
"purdy","2023-01-29"
"fisher","2023-01-20"
"abshire","2023-01-11"
"jaskolski","2023-01-02"
"rodriguez","2023-01-06"
"douglas","2023-01-15"
"kohler","2023-02-02"
"gleason","2023-02-02"
"hirthe","2023-01-31"
"little","2023-01-19"
"graham","2023-01-25"
"parker","2023-01-16"
"cormier","2023-01-05"
"wyman","2023-01-29"
"franecki","2023-01-05"
"schulist","2023-01-25"
"kshlerin","2023-01-07"
"boehm","2023-01-18"
"douglas","2023-01-15"
"purdy","2023-01-01"
"bins","2023-01-09"
"jaskolski","2023-01-13"
"macejkovic","2023-01-27"
"ortiz","2023-02-03"
"lindgren","2023-01-23"
"carter","2023-01-24"
"effertz","2023-01-06"
"corkery","2023-01-12"
"stehr","2023-01-08"
"lindgren","2023-01-25"
"armstrong","2023-01-03"
"hamill","2023-01-31"
"jaskolski","2023-01-21"
"goodwin","2023-01-05"
"moore","2023-01-02"
"hilpert","2023-01-16"
"watsica","2023-02-01"
"fisher","2023-01-27"
"jaskolski","2023-01-22"
"goodwin","2023-01-09"
"huel","2023-01-07"
"nitzsche","2023-01-01"
"huel","2023-01-30"
"rosenbaum","2023-01-10"
"marquardt","2023-01-07"
"prohaska","2023-01-17"
"kohler","2023-01-22"
