"route","year","total_hours"
"abernathy",2021,7
"abernathy",2022,34
"abshire",2021,41
"abshire",2022,-19
"abshire",2023,10
"altenwerth",2021,14
"altenwerth",2022,24
"altenwerth",2023,1
"ankunding",2021,64
"ankunding",2022,-5
"ankunding",2023,4
"baumbach",2021,-42
"baumbach",2022,-40
"baumbach",2023,4
"bins",2021,-19
"bins",2022,-11
"bins",2023,10
"boehm",2021,-24
"boehm",2022,35
"boehm",2023,1
"connelly",2021,15
"connelly",2022,-3
"corkery",2021,-42
"corkery",2022,15
"corkery",2023,5
"crona",2021,-32
"crona",2022,-6
"crona",2023,1
"deckow",2021,-33
"deckow",2022,74
"deckow",2023,14
"emmerich",2021,37
"emmerich",2022,-5
"emmerich",2023,-20
"fisher",2021,38
"fisher",2022,-68
"fisher",2023,2
"gleason",2021,23
"gleason",2022,-54
"gleason",2023,-15
"goodwin",2021,-10
"goodwin",2022,15
"goodwin",2023,-4
"graham",2021,56
"graham",2022,25
"graham",2023,-20
"greenfelder",2021,-3
"greenfelder",2022,48
"greenfelder",2023,-19
"gutmann",2021,-8
"gutmann",2022,-13
"gutmann",2023,-1
"hamill",2021,-9
"hamill",2022,68
"hamill",2023,4
"heaney",2021,-33
"heaney",2022,-85
"heaney",2023,-19
"heathcote",2021,-12
"heathcote",2022,25
"heathcote",2023,-13
"hirthe",2021,-35
"hirthe",2022,-23
"hirthe",2023,7
"hyatt",2021,0
"hyatt",2022,38
"kohler",2021,31
"kohler",2022,55
"kohler",2023,13
"macejkovic",2021,79
"macejkovic",2022,8
"macejkovic",2023,-13
"marquardt",2021,68
"marquardt",2022,3
"marquardt",2023,-18
"muller",2021,-63
"muller",2022,29
"nader",2021,-44
"nader",2022,4
"nader",2023,-8
"ortiz",2021,15
"ortiz",2022,18
"ortiz",2023,11
"osinski",2021,-27
"osinski",2022,-5
"osinski",2023,0
"prohaska",2021,29
"prohaska",2022,-30
"rodriguez",2021,-42
"rodriguez",2022,40
"rodriguez",2023,-18
"schulist",2021,6
"schulist",2022,-7
"schulist",2023,27
"shanahan",2021,-23
"shanahan",2022,15
"shanahan",2023,17
"spinka",2021,34
"spinka",2022,34
"spinka",2023,11
"towne",2021,-6
"towne",2022,39
"towne",2023,-15
"tromp",2021,63
"tromp",2022,15
"tromp",2023,22
"turcotte",2021,0
"turcotte",2022,-4
"turcotte",2023,-17
"watsica",2021,-14
"watsica",2022,-83
"watsica",2023,-12
"wehner",2021,-50
"wehner",2022,52
"wehner",2023,-11
"wyman",2021,28
"wyman",2022,32
